Column1,last_update_time,league,date,game_time,home_team,away_team,bet_side,bookmaker_name,moneyline,payout,implied_odds,win_prob,exp_val,kelly_pct,bet_amnt
11,2022-03-10 22:48:54+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Denver Nuggets,Bovada,115,1.15,0.465,0.623,0.339,0.295,7
8,2022-03-10 22:49:49+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Denver Nuggets,FanDuel,110,1.1,0.476,0.623,0.308,0.28,7
9,2022-03-10 22:50:58+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Denver Nuggets,BetMGM,110,1.1,0.476,0.623,0.308,0.28,7
10,2022-03-10 22:51:07+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Denver Nuggets,DraftKings,110,1.1,0.476,0.623,0.308,0.28,7
5,2022-03-10 22:51:07+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,DraftKings,-180,0.56,0.643,0.766,0.195,0.348,9
7,2022-03-10 22:48:54+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,Bovada,-180,0.56,0.643,0.766,0.195,0.348,9
39,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,Miami Heat,FanDuel,-225,0.44,0.692,0.82,0.181,0.411,10
4,2022-03-10 22:49:49+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,FanDuel,-190,0.53,0.655,0.766,0.172,0.324,8
6,2022-03-10 22:50:58+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,BetMGM,-190,0.53,0.655,0.766,0.172,0.324,8
38,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,Miami Heat,DraftKings,-240,0.42,0.706,0.82,0.164,0.391,10
22,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Atlanta Hawks,Los Angeles Clippers,Atlanta Hawks,FanDuel,-250,0.4,0.714,0.78,0.092,0.23,6
35,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,DraftKings,-150,0.67,0.6,0.648,0.082,0.123,3
23,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Atlanta Hawks,Los Angeles Clippers,Atlanta Hawks,DraftKings,-265,0.38,0.726,0.78,0.076,0.201,5
