,game_id,sport,date,game_time,home_team,away_team,bookmaker_name,last_update_time,bet_side,moneyline,payout,implied_odds
2,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,FanDuel,2022-03-10 22:49:49+00:00,Brooklyn Nets,160,1.6,0.385
3,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,FanDuel,2022-03-10 22:49:49+00:00,Philadelphia 76ers,-190,0.53,0.655
4,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,DraftKings,2022-03-10 22:51:07+00:00,Brooklyn Nets,155,1.55,0.392
5,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,DraftKings,2022-03-10 22:51:07+00:00,Philadelphia 76ers,-180,0.56,0.643
8,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,BetMGM,2022-03-10 22:50:58+00:00,Brooklyn Nets,155,1.55,0.392
9,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,BetMGM,2022-03-10 22:50:58+00:00,Philadelphia 76ers,-190,0.53,0.655
32,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Bovada,2022-03-10 22:48:54+00:00,Brooklyn Nets,155,1.55,0.392
33,88ab0618f44e3d7cfe044632f1737118,NBA,2022-03-10,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Bovada,2022-03-10 22:48:54+00:00,Philadelphia 76ers,-180,0.56,0.643
40,26bd89731c7684d8b7ff2bf37fec8b2a,NBA,2022-03-10,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,FanDuel,2022-03-10 22:49:49+00:00,Denver Nuggets,110,1.1,0.476
41,26bd89731c7684d8b7ff2bf37fec8b2a,NBA,2022-03-10,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,FanDuel,2022-03-10 22:49:49+00:00,Golden State Warriors,-130,0.77,0.565
46,26bd89731c7684d8b7ff2bf37fec8b2a,NBA,2022-03-10,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,BetMGM,2022-03-10 22:50:58+00:00,Denver Nuggets,110,1.1,0.476
